Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,TotalPrice,Transaction_hash
556415,21770,OPEN CLOSED METAL SIGN,36,2011-06-10 12:19:00,4.25,12409,Switzerland,153.0,112ad42b9223a69f84446cf072246399d17e341112072488ac732dec5d02b03a
555107,23201,JUMBO BAG ALPHABET,10,2011-05-31 14:14:00,2.08,12594,Italy,20.8,f136769cda4739f096a97cd09d795e0708d71296144e1020f5b1d5181458e520
568882,22647,CERAMIC LOVE HEART MONEY BANK,12,2011-09-29 12:39:00,1.45,12839,United Kingdom,17.4,4fc2edbe37b67e2cc231aafa002da2889ec4755c8b4877df3b2b19b508d49567
565093,23013,GLASS APOTHECARY BOTTLE TONIC,12,2011-09-01 10:38:00,3.45,13408,United Kingdom,41.400000000000006,16bb6ece1ad6d16a85d672e2129c77ad2b72a312cbca4e8e4e5471f1d6b80ea8
565846,21169,YOU'RE CONFUSING ME METAL SIGN,2,2011-09-07 12:41:00,1.69,14606,United Kingdom,3.38,8ee25012efebf077f5d82961366850d37535d18c9f99a3ad4eded051fe55221e
551721,84927A,WAKE UP COCKEREL TILE HOOK,1,2011-05-03 16:49:00,2.1,14711,United Kingdom,2.1,1434fc62e59aff2055cc5caf0ff8152ebb79f1f2f248560702c56d02dfcad8fe
577951,22086,PAPER CHAIN KIT 50'S CHRISTMAS,4,2011-11-22 12:09:00,2.95,17238,United Kingdom,11.8,4211770b26494e711537cce795e31ae07188ddd9dfe28563b46bd80561c186ce
491893,72803A,ROSE SCENT CANDLE JEWELLED DRAWER,1,2009-12-14 15:17:00,4.25,16805,United Kingdom,4.25,fdbb6d725650d2f7ce67bf17ee9fff1e18fbea6f2ebba9f11906723aafc602c6
556954,21485,RETROSPOT HEART HOT WATER BOTTLE,3,2011-06-16 08:38:00,4.95,15585,United Kingdom,14.850000000000001,0c19137c17c97f871cb73307655f898414b99ee350203b6cd957c55b22b69d6b
548557,22132,RED LOVE HEART SHAPE CUP,12,2011-04-01 09:56:00,0.85,15018,United Kingdom,10.2,6a3c13b6c97f5bb968405b7032475e943069d6b976d12983535858988b3bfe99
566281,21915,RED  HARMONICA IN BOX,12,2011-09-11 14:15:00,1.25,12748,United Kingdom,15.0,6ffaa591b8e8d65ee01f23550d5057de16302be15c48d207276eafa07f111c71
504552,21080,SET/20 RED SPOTTY PAPER NAPKINS,12,2010-04-14 13:27:00,0.85,16105,United Kingdom,10.2,9e269dc5276e81663e1174a919f1270b606838eea04cd3b81b671ce94e91e693
574868,37500,TEA TIME TEAPOT IN GIFT BOX,12,2011-11-07 12:41:00,4.95,13824,United Kingdom,59.400000000000006,291636710003c4b866c0a03aed77d65441f8fe7fc2c38b0a1e190ba2cab4e423
518380,20914,SET/5 RED SPOTTY LID GLASS BOWLS,4,2010-08-08 10:55:00,2.95,17068,United Kingdom,11.8,74e3672ac41322c66dd45120a5a4a994e074be3bb2e09480d75e8b16985e78f4
532297,22385,JUMBO BAG SPACEBOY DESIGN,10,2010-11-11 13:50:00,1.95,13979,United Kingdom,19.5,8b28f51e56651945da0344b90445da155bfd2b7839d08fdd72a40e989e4547ee
530921,22581,WOOD STOCKING CHRISTMAS SCANDISPOT,12,2010-11-04 16:36:00,0.85,18259,United Kingdom,10.2,f2a1ccd82cb0d304079dcb0faed482e6bbabcf4f273ef18fa01e038af81605d8
542795,21217,RED RETROSPOT ROUND CAKE TINS,2,2011-02-01 10:59:00,9.95,18055,United Kingdom,19.9,867b09be6626e56352dd88ceee77511c2829140d4db8aee79dd549ddd05ed435
521483,22046,TEA PARTY  WRAPPING PAPER,50,2010-09-06 13:26:00,0.42,13093,United Kingdom,21.0,60b96f00b2d37ca8636291f60f59efd6f76a182f53688bb4613c97e0c1198dac
532990,84849B,FAIRY SOAP SOAP HOLDER,3,2010-11-15 14:11:00,1.69,17106,United Kingdom,5.07,af0508f975c55024f5574be0dce3b8ae57fc47a554e5100e2fad3e3caa0b66b7
522410,21754,HOME BUILDING BLOCK WORD,3,2010-09-14 11:36:00,5.95,13555,United Kingdom,17.85,1dcece2f730d76a02efefa4dff4f2110933ae83dd8b2e7f5d508ed93f16b3b5a
533581,21975,PACK OF 60 DINOSAUR CAKE CASES,1,2010-11-18 11:29:00,0.55,16445,United Kingdom,0.55,dcd9869d8f48892deeeaa811b57c0f240b29742a03dec8e44754b76a2409026c
511287,85049B,LUSH GREENS RIBBONS,5,2010-06-07 14:47:00,1.25,14514,United Kingdom,6.25,ad6dde4c3bdd527d8553372aaaf781f912809b8b4099db38e8c25ed7a130360d
509422,21415,CLAM SHELL SMALL,2,2010-05-23 13:03:00,2.1,14249,United Kingdom,4.2,4c071702abbf9d9dc33a370a05bb18c8d6b2cffef1e907b5ad9e0676358cc196
537650,85099B,JUMBO BAG RED RETROSPOT,10,2010-12-07 15:48:00,1.95,16125,United Kingdom,19.5,9dabb635891d5e896c36096b1a3dcfe8eacfaafce63c9de09cc7039b14f41184
510488,21785,RAIN PONCHO,24,2010-06-01 12:00:00,0.85,18226,United Kingdom,20.4,f3b1eca1db9ca27448c6bde415bd9181188f4b9d9a95a7eaac7b1e790ca31c5a
529337,22549,PICTURE DOMINOES,2,2010-10-27 16:04:00,1.45,16014,United Kingdom,2.9,407c42241cf373ea9f9ab50002d5a3a9dcce61cb4395e57861adc6b9a30be9c1
552310,84375,SET OF 20 KIDS COOKIE CUTTERS,1,2011-05-08 15:22:00,2.1,17323,United Kingdom,2.1,c976c7141e8541c8eabe1d8cfa71bf48fe7cd04528ba6e6d9b94b5274f25b592
553351,20969,RED FLORAL FELTCRAFT SHOULDER BAG,1,2011-05-16 13:35:00,3.75,18118,United Kingdom,3.75,b832a3523a6b46d28f506887dd6cb280dec9e6f869b1b7baee24b3edf46b9b4c
492418,22082,RIBBON REEL STRIPES DESIGN,10,2009-12-16 17:27:00,1.65,15498,United Kingdom,16.5,b3a90ed37ffa5af47a7a06bddb9880e69cbc952d2c32db84e8158f193c683025
540033,21059,PARTY INVITES DINOSAURS,5,2011-01-04 14:12:00,0.85,13680,United Kingdom,4.25,250ae8abaf622f525e5202acfb6964c0acf50f9a50c8281470c3cdf79729e9d8
538827,47504H,ENGLISH ROSE SPIRIT LEVEL,24,2010-12-14 12:59:00,0.85,14298,United Kingdom,20.4,dfa64e99e530aa5c0cc7be19f55d50aa0faad2c492c9afb2bc63e85b1b130e53
581476,23358,HOT STUFF HOT WATER BOTTLE,18,2011-12-09 08:48:00,1.25,12433,Norway,22.5,ef99ef24f3b9b3807d664a29289b3a37ca91abb171f3b9730f174f359d329e38
556504,90114,SUMMER DAISIES BAG CHARM,6,2011-06-13 08:47:00,2.55,13936,United Kingdom,15.299999999999999,c9ea450af0332a577088a8273b2119cdff6008158bdfa6de83f64ae1a2732c3e
550627,22607,WOODEN ROUNDERS GARDEN SET,2,2011-04-19 14:36:00,9.95,16633,United Kingdom,19.9,793f09eff02bf49df12f636ba2ad55292143c2d9415fc03c4380ddeda1c4f7c6
504386,21915,RED  HARMONICA IN BOX,6,2010-04-13 11:38:00,1.25,14057,United Kingdom,7.5,5708deb1eb9d19c4328e38fd2d83809fc02822c9503bf1d77cd5f553d8aebee8
494898,21987,PACK OF 6 SKULL PAPER CUPS,12,2010-01-19 14:27:00,0.65,14413,United Kingdom,7.800000000000001,4bb766672f8df81ea454489473bdaf9b904695f620489d0c40671f5de9e67a88
506347,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-04-29 11:56:00,1.69,14512,United Kingdom,13.52,4d02b95f1ba1b282f044e1bd8171574e309c331296cadf8982a6a66ebcfaf11e
492247,37333,"RETRO ""TEA FOR ONE""",4,2009-12-16 10:16:00,4.95,16736,United Kingdom,19.8,505fad03fbca103ebad90c4aa8e21b2d94822101c3aed8d3e8b7c628da2b1c08
529320,21497,FANCY FONTS BIRTHDAY WRAP,25,2010-10-27 13:59:00,0.42,14400,United Kingdom,10.5,65876768766b25d0780307136ee88c01c29fff9a0c006a3d13b7b53d6e0ddbb8
530753,22654,DELUXE SEWING KIT,6,2010-11-04 11:56:00,5.95,12949,United Kingdom,35.7,3b77ec7ca9feb4c140d53f2630c2405922f5d224d45ed98c7770c7d60b8beb1e
501539,20718,RED SPOTTY SHOPPER BAG,1,2010-03-17 14:05:00,1.25,13275,United Kingdom,1.25,50888490277ca783b7a56ae51f70f0485954389e5398f5de81676c542f589ac5
565150,22372,AIRLINE BAG VINTAGE WORLD CHAMPION,8,2011-09-01 14:26:00,3.95,14298,United Kingdom,31.6,1ac90b0553f6d13d2df5d2b057d213f8485554ca86c94ee9badec9530be94bcb
