CustomerID,Recency,Frequency,Monetary,Cluster,AOV,Segment
12348,75,5,2019.4,0,403.88,Loyal Customers
12350,310,1,334.4,1,334.4,Inactive/At-Risk Customers
12351,375,1,300.93,1,300.93,Inactive/At-Risk Customers
12352,36,10,2386.04,3,238.6,Recent Big Spenders
12353,204,2,406.76,2,203.38,Frequent Low-Spenders
12354,232,1,1079.4,2,1079.4,Frequent Low-Spenders
12355,214,2,947.61,2,473.8,Frequent Low-Spenders
12358,2,5,3887.07,3,777.41,Recent Big Spenders
12361,287,4,511.25,2,127.81,Frequent Low-Spenders
12363,110,2,552.0,2,276.0,Frequent Low-Spenders
12364,8,4,1313.1,0,328.28,Loyal Customers
12365,291,2,641.38,2,320.69,Frequent Low-Spenders
12366,634,1,500.24,1,500.24,Inactive/At-Risk Customers
12367,4,1,168.9,2,168.9,Frequent Low-Spenders
12368,628,1,917.7,1,917.7,Inactive/At-Risk Customers
12369,413,3,1791.15,0,597.05,Loyal Customers
12372,72,3,1298.04,2,432.68,Frequent Low-Spenders
12373,311,3,1127.6499999999999,1,375.88,Inactive/At-Risk Customers
12374,25,4,2989.22,0,747.3,Loyal Customers
12375,11,2,457.5,2,228.75,Frequent Low-Spenders
12376,390,2,503.15,1,251.58,Inactive/At-Risk Customers
12377,315,4,3426.32,0,856.58,Loyal Customers
12379,82,4,1620.22,0,405.06,Loyal Customers
12381,5,5,1845.31,0,369.06,Loyal Customers
12383,185,5,1850.56,0,370.11,Loyal Customers
12384,29,2,585.27,2,292.64,Frequent Low-Spenders
12385,379,1,1938.4,1,1938.4,Inactive/At-Risk Customers
12386,338,2,401.9,1,200.95,Inactive/At-Risk Customers
12387,415,1,143.94,1,143.94,Inactive/At-Risk Customers
12388,16,8,3901.11,3,487.64,Recent Big Spenders
12389,403,3,1433.33,1,477.78,Inactive/At-Risk Customers
12390,80,1,549.84,2,549.84,Frequent Low-Spenders
12391,22,6,2724.84,0,454.14,Loyal Customers
12392,591,1,234.75,1,234.75,Inactive/At-Risk Customers
