Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,TotalPrice,Transaction_hash
544297,22698,PINK REGENCY TEACUP AND SAUCER,12,2011-02-17 12:48:00,2.55,14298,United Kingdom,30.599999999999998,ac2d2b300ff243421024be69a80ff16d656ea2490541c0cc4a9c9a323a7649c5
539840,21126,SET OF 6 GIRLS CELEBRATION CANDLES,12,2010-12-22 14:28:00,1.25,12383,Belgium,15.0,ea60b71883577b5456074926fe73542c166b59fc219ae6aee139ddd440a08cd0
545853,22189,CREAM HEART CARD HOLDER,1,2011-03-07 13:50:00,3.95,16517,United Kingdom,3.95,f7bd8e8e4c9cdaf3411c167f7099d9d02af5ae721b4c57add5a26ef2f462b17d
519255,82581,TOILET METAL SIGN,2,2010-08-15 15:36:00,0.55,14183,United Kingdom,1.1,0844914931a0be31a2280692baa428125c5a9b118cae0a780e6b298c5c36d003
489782,20728,LUNCH BAG CARS BLUE,2,2009-12-02 11:45:00,1.65,17189,United Kingdom,3.3,ec7acd2f31a032b6c21e75dbd155b31fd243c1bfcf7f3ad8d0cafb04d1af2f2f
513558,84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,6,2010-06-25 13:27:00,3.75,17138,United Kingdom,22.5,dfd4bfd24ea1768f58cffe5c2587f88e6d3376b59c4bc3410abfa0afb4e21d69
560079,22704,WRAP RED APPLES,25,2011-07-14 16:12:00,0.42,15521,United Kingdom,10.5,d3c3bfb6ff46045d11b439ce9264c8c39f94b0d2bd735eca079e962be3187ee6
579273,21313,GLASS HEART T-LIGHT HOLDER,12,2011-11-29 10:00:00,0.85,15197,United Kingdom,10.2,f2d6bee557e85cc1b0bab650d212f7d98217e130dd865329d377e194189af7b3
566717,84997A,CHILDRENS CUTLERY POLKADOT GREEN,1,2011-09-14 12:14:00,4.15,17841,United Kingdom,4.15,581a545ba228700d09d1a87dff98651637f43946fc676cd62f96eb57d2d146c9
542303,22847,BREAD BIN DINER STYLE IVORY,1,2011-01-27 11:05:00,16.95,12539,Spain,16.95,924961121e730d30f2c63d765c3ad1f6ee176e20c26ccc3f8d192b8c17a83683
